0
relax
your
bow
arm.
"lad,"
go
run
back
and
get
the
rest.
there
are
no
direwolves
south
of
wall.
put
away
blade.
what
is
it?
hear
prince
right
royal
prick.
"on,"
"tommy,"
shave
him
good.
he’s
never
met
girl
likes
better
than
his
own
hair.
