0
and
which
one
of
you
was
marksman
at
ten?
keep
"practicing,"
bran.
go
on.
get
the
lads
to
saddle
their
horses.
swore
"oath,"
cat.
tell
he’s
"coming,"
too.
won’t
be
boy
forever.
winter
is
coming.
king
andals
first
men
…
lord
seven
kingdoms
protector
"realm,"
"i,"
eddard
house
"stark,"
winterfell
warden
"north,"
sentence
die.
understand
why
did
it?
but
had
kill
him?
who
passes
should
swing
sword.
white
walkers
have
been
gone
thousands
years.
madman
sees
what
sees.
there
are
mountain
lions
these
woods.
it’s
direwolf.
tough
old
beast.
better
quick
death.
they
last
without
mother.
i’m
"sorry,"
will
train
them
yourselves.
feed
if
"die,"
bury
five
northern
children.
you’re
not
outsider.
gods
all
rules.
me.
grace.
guarding
"you,"
yours.
my
queen.
about
jon
arryn.
we
both
did.
aye.
