0
do
you
have
to?
ned.
ten
is
too
young
see
such
things.
all
these
years
and
still
feel
like
outsider
when
come
here.
wonder
if
old
gods
agree.
am
so
"sorry,"
my
love.
"gods,"
but
they
grow
fast.
how
many
times
told
no
climbing!
want
promise
me.
more
climbing.
your
grace.
queen.
