0
jon
said
he
was
deserter.
our
way
is
the
old
way?
it
true
saw
white
walkers?
so
lying?
where
will
they
go?
their
mother’s
dead.
no!
"please,"
father!
what
about
you?
king!
he’s
got
hundreds
of
people!
but
coming
right
now!
down
road!
