0
but
who
would
he
tell?
if
told
the
"king,"
both
our
heads
be
skewered
on
city
gates
by
now.
whatever
jon
arryn
knew
or
didn’t
"know,"
died
with
him.
and
robert
will
choose
hand
of
someone
do
his
job
while
he’s
off
fucking
boars
hunting
whores.
other
way
around?
life
go
on.
that’s
honor
can
without.
their
days
are
too
"long,"
lives
short.
