0
do
the
dead
frighten
you?
don’t
think
he’ll
ask
us
how
they
died?
get
back
your
horse.
it’s
good
thing
we’re
not
children.
want
to
run
away
"south,"
away.
of
"course,"
will
behead
deserter
…
if
catch
first.
won’t
say
again.
men
seem
have
moved
camp.
what
is
it?
