0
you’ve
got
fat.
cat!
nine
years.
why
haven’t
seen
you?
where
the
hell
been?
who
we
here?
must
robb.
ooh.
show
your
muscles.
you’ll
soldier.
take
me
to
crypt.
want
pay
my
respects.
ned.
one
minute
was
"fine,"
and
then
…
burned
right
through
"him,"
whatever
it
was.
loved
that
man.
never
had
teach
"much,"
but
remember
16?
all
wanted
do
crack
skulls
fuck
girls.
showed
what.
